Learning rate,Number of epochs,Training time (s),Accuracy

0.001,2,8.455294370651245,0.787420392036438
0.01,1,4.137935161590576,0.8615645170211792
0.0001,1,4.011653900146484,0.8624601960182190.002,5,23.16042971611023,0.8510151505470276
